id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1828739,BOUYGUES TELECOM,LTE 2100, (MONCEAUX) 72210 SOULIGNE FLACE,72339,"47.9817,-0.0078",Pylône autostable,"30,4m",TDF,2025-12-29,ALL,,False,False
1865332,FREE MOBILE,"LTE 700, LTE 2100, LTE 2600",12 RUE COLBERT ZI DE L'ECARTELÉE 35300 FOUGERES,35115,"48.3419,-1.1828",Pylône autostable,32m,CELLNEX,2026-01-06,ALL,,False,False
1868077,BOUYGUES TELECOM,"LTE 1800, LTE 2100",LIEU-DIT PINCESME (PINCESME) 53340 VAL DU MAINE,53017,"47.9333,-0.3994",Pylône autostable,"32,9m",TDF,2025-12-31,ALL,,False,False
1877979,BOUYGUES TELECOM,LTE 700,INSTITUT MEDICO PEDAGOGIQUE ENTRE D554 ET RIVIERE  (LA FORET) 83670 CHATEAUVERT,83039,"43.5158,6.0125",Pylône autostable,22m,ATC FRANCE,2026-01-05,ALL,,False,False
1879372,BOUYGUES TELECOM,LTE 2100,D69 (LA PIEMORDIERE) 72540 VALLON SUR GEE,72367,"47.945,-0.0756",Pylône autostable,"32,5m",TDF,2025-12-29,ALL,,False,False
1891266,BOUYGUES TELECOM,LTE 2100,ROUTE DU PETIT CLAIRET (LA BROCHARDIÈRE) 72550 COULANS SUR GEE,72096,"48.0208,0.0375",Pylône autostable,"30,4m",TDF,2025-12-29,ALL,,False,False
1894971,ORANGE,5G NR 700,CHEMIN DE MONTRICHARD ESPACE MONTRICHARD (ESPACE MONTRICHARD) 54700 PONT A MOUSSON,54431,"48.9119,6.0403",Pylône tubulaire,30m,TOTEM,2026-01-16,AAV,,False,False
1899662,SFR,5G NR 2100,LES FRÊNES (PIERRE FOULON) 72430 CHANTENAY VILLEDIEU,72059,"47.9142,-0.1589",Pylône autostable,30m,TDF,2025-12-31,ALL,,False,False
1899669,BOUYGUES TELECOM,"LTE 1800, LTE 2100, 5G NR 2100", (LES VIGNES GATES) 72430 CHANTENAY VILLEDIEU,72059,"47.9258,-0.1156",Pylône autostable,40m,TDF,2025-12-31,ALL,,False,False
1916334,SFR,5G NR 3500,15 RUE GUÉNÉGAUD 75006 PARIS 06,75106,"48.8558,2.3392",Bâtiment,27m,"Copropriété, Syndic, SCI",2025-12-01,EXT,,False,False
