id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1332557,FREE MOBILE,SUP,"UMTS 900, LTE 700, LTE 900, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",HIPPODROME DU HAUT RILLON AVENUE DE LHIPPODROME 17340 CHATELAILLON PLAGE,17094,"46.0733,-1.075",Pylône autostable,47m,HIVORY,2024-07-09,False,False
1333248,FREE MOBILE,AJO,LTE 900,6 RUE DE LA FRONTIERE STURMESGARTEN 57540 PETITE ROSSELLE,57537,"49.2189,6.8622",Pylône autostable,25m,TDF,,False,False
1336050,FREE MOBILE,AJO,LTE 900,R DE LA GARE PROCHE RD 955 PARKING (L'OBETTE) 59198 HASPRES,59285,"50.2636,3.4158",Pylône autostable,38m,TDF,,False,False
1351671,FREE MOBILE,AJO,LTE 900,RUE DU PRÉ TALANGE 57140 WOIPPY,57751,"49.155,6.1583",Pylône autostable,"22,3m",ON TOWER FRANCE,,False,False
1353863,FREE MOBILE,AJO,LTE 900,CHEMIN RURAL DEMONTBEAUFRANC ROUTE DE MONTLIARD (FRÉVILLE EN GATINAIS) 45270 QUIERS SUR BEZONDE,45259,"48.0078,2.4344",Pylône autostable,42m,TDF,,False,False
1371362,FREE MOBILE,AJO,LTE 900,ROUTE DE ROUEN (LE BRAY) 60650 ST AUBIN EN BRAY,60567,"49.4372,1.8933",Pylône autostable,39m,TDF,,False,False
1377683,FREE MOBILE,AJO,LTE 900,15 ESPLANADE RAOUL FOLLEREAU 92130 ISSY LES MOULINEAUX,92040,"48.8211,2.2522",Immeuble,43m,"Copropriété, Syndic, SCI",,False,False
1381766,FREE MOBILE,AJO,LTE 900,LE CLOS DE TREMOUSSEAU 49560 LYS HAUT LAYON,49373,"47.1544,-0.4339",Pylône autostable,40m,TDF,,False,False
1388712,FREE MOBILE,AJO,LTE 900,12 PLACE CLAUDE MONET 77400 ST THIBAULT DES VIGNES,77438,"48.855,2.6675",Immeuble,"16,1m",Société HLM,,False,False
1392490,FREE MOBILE,AJO,LTE 900,ZAC DES DENTELLES (LES DENTELLES) 45260 LORRIS,45187,"47.8844,2.4969",Pylône autostable,42m,TDF,,False,False
1392798,FREE MOBILE,AJO,LTE 900,LE TROU DE CHERIOT 45390 PUISEAUX,45258,"48.2072,2.4572",Pylône autostable,44m,TDF,,False,False
1395518,DIGICEL,ALL,LTE 900,CHEMIN COMMUNAL (VOIE HAUTEUR BOURBON) 97218 BASSE POINTE,97203,"14.8528,-61.135",Pylône autostable,25m,DIGICEL,2025-06-01,False,False
1395518,FREE CARAIBES,ALL,UMTS 900,CHEMIN COMMUNAL (VOIE HAUTEUR BOURBON) 97218 BASSE POINTE,97203,"14.8528,-61.135",Pylône autostable,25m,DIGICEL,2025-06-01,False,False
1399102,FREE MOBILE,AJO,LTE 900,PARC ER STER 56320 LE FAOUET,56057,"48.0469,-3.4933",Pylône autostable,50m,TDF,,False,False
1404154,FREE MOBILE,AJO,LTE 900,LES LOGES 51230 FERE CHAMPENOISE,51248,"48.7597,3.9803",Pylône autostable,49m,TDF,,False,False
1404667,FREE MOBILE,AJO,LTE 900,R JACQUES MONOD 60870 VILLERS ST PAUL,60684,"49.2808,2.5028",Pylône autostable,34m,TDF,,False,False
1407772,FREE MOBILE,AJO,LTE 900,R DES LILAS (FOND DE TANIÈRE) 55700 STENAY,55502,"49.4978,5.1986",Pylône autostable,26m,TDF,,False,False
1411488,FREE MOBILE,AJO,LTE 900,22 RUE EMMAUS CENTRE EMMAUS 60000 BEAUVAIS,60057,"49.4219,2.0961",Pylône autostable,32m,BOUYGUES,,False,False
1413146,FREE MOBILE,AJO,LTE 900,34 RUE CASTERES 92110 CLICHY,92024,"48.9014,2.3011",Immeuble,"25,4m",Particulier,,False,False
1414955,FREE MOBILE,AJO,LTE 900,LES FAISSES 48200 ST CHELY D APCHER,48140,"44.8139,3.2844",Pylône autostable,30m,TDF,,False,False
1415454,FREE MOBILE,AJO,LTE 900,FERME DE SAINT CLEMENT - FROUARD 54670 CUSTINES,54150,"48.7672,6.1475",Pylône autostable,29m,TDF,,False,False
1415458,FREE MOBILE,AJO,LTE 900,28 À 36 R DU COMMERCE SLE HABITAT 59790 RONCHIN,59507,"50.6092,3.0833",Immeuble,"22,7m",Société HLM,,False,False
1422103,PMT-VODAFONE,AJO,5G NR 3500,AVENUE DU COMMANDANT CHESSE CINEMA MAJESTIC MAMAO PK1 EST 98714 PAPEETE,98735,"-17.5347,-149.5586",Bâtiment,21m,Société Privée,,False,False
1427299,FREE MOBILE,AJO,LTE 900,CHASSIGNOL 42120 COMMELLE VERNAY,42069,"45.9781,4.0664",Pylône autostable,20m,TDF,,False,False
1433526,FREE MOBILE,AJO,LTE 900,RUE DE L'INDUSTRIE 44140 AIGREFEUILLE SUR MAINE,44002,"47.0786,-1.4117",Pylône tubulaire,"38,5m",TDF,,False,False
1441339,FREE MOBILE,AJO,LTE 900,PROCHE RESERVOIR (LA POMME) 43190 TENCE,43244,"45.1056,4.2936",Pylône autostable,32m,TDF,,False,False
1444236,FREE MOBILE,AJO,LTE 900,TERRAIN DE SPORT NEUFONS (LABASTIDE) 47180 STE BAZEILLE,47233,"44.5369,0.0942",Pylône tubulaire,29m,ATC FRANCE,,False,False
1444267,FREE MOBILE,AJO,LTE 900,"184, R LEON FAUCHER 51450 BETHENY",51055,"49.2742,4.0433",Pylône autostable,46m,HIVORY,,False,False
1444378,FREE MOBILE,AJO,LTE 900,"13 R DE L'EUROPE, LE GROS GRE 60530 NEUILLY EN THELLE",60450,"49.2267,2.2933",Pylône autostable,46m,HIVORY,,False,False
1445343,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",RD 768 ZA DE PHILIPPORTE (RTE DE LA VALLÉE) 22400 HENANSAL,22077,"48.5281,-2.4211",Pylône autostable,50m,TDF,,False,False
1445343,SFR,SUP,UMTS 2100,RD 768 ZA DE PHILIPPORTE (RTE DE LA VALLÉE) 22400 HENANSAL,22077,"48.5281,-2.4211",Pylône autostable,50m,TDF,2019-07-26,False,False
1445347,FREE MOBILE,AJO,LTE 900, (NINES) 47200 VIRAZEIL,47326,"44.5083,0.2664",Pylône autostable,39m,ATC FRANCE,,False,False
1446765,SFR,ALL,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",LES PETITES CHAUMES 16410 GARAT,16146,"45.6147,0.2622",Pylône autostable,40m,TDF,2025-09-10,False,False
1447454,FREE MOBILE,AJO,LTE 900,35 RUE ERNEST RENAN 92130 ISSY LES MOULINEAUX,92040,"48.8264,2.2811",Immeuble,"38,7m",Société HLM,,False,False
1448111,FREE MOBILE,AJO,LTE 900,AV HENRI BARBUSSE 92700 COLOMBES,92025,"48.9158,2.2525",Immeuble,29m,Société HLM,,False,False
1448635,FREE MOBILE,AJO,LTE 900,CHEM D'EXPLOITATION N°20 DIT DES MOURS (LA NOBLERIE) 50560 BLAINVILLE SUR MER,50058,"49.0767,-1.5756",Pylône autostable,30m,HIVORY,,False,False
1449694,FREE MOBILE,AJO,LTE 900,BOIS DES DAMZELLES (NOTRE DAME DE GRACE) 55800 REVIGNY SUR ORNAIN,55427,"48.8147,4.9936",Pylône tubulaire,35m,TDF,,False,False
1449800,FREE MOBILE,AJO,LTE 900,VC N° 7 CHEM DU PIGEON BLANC (LES HAIES DE MARCHELLE) 59145 BERLAIMONT,59068,"50.2092,3.7683",Pylône autostable,30m,HIVORY,,False,False
