id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1466771,FREE MOBILE,LTE 800,LA TOUR 24380 ST PAUL DE SERRE,24480,"45.0822,0.63",Pylône autostable,"45,3m",BOUYGUES,AJO,,90|220|340,,False,False
1466776,FREE MOBILE,LTE 800,LAC DE PONCHAT LAC DE PONCHAT 24190 VALLEREUIL,24562,"45.0731,0.5053",Pylône autostable,30m,Conseil Départemental,AJO,,100|220|340,,False,False
1467394,FREE MOBILE,LTE 800,PUY CHABRY 23340 GENTIOUX PIGEROLLES,23090,"45.7811,2.0022",Pylône autostable,"42,8m",BOUYGUES,AJO,,130|310,,False,False
1467428,FREE MOBILE,LTE 800,LES PRÉS LAJUS GRANDE RUE (LA COMBE D'ENANS) 25150 DAMBELIN,25187,"47.3772,6.6817",Pylône tubulaire,25m,Conseil Départemental,AJO,,90|240,,False,False
1468127,FREE MOBILE,LTE 800,CHEMIN DEPARTEMENTAL N15 (BAS NOUZEIRAT) 23800 ST SULPICE LE DUNOIS,23244,"46.3072,1.7572",Pylône autostable,49m,Conseil Départemental,AJO,,90|210|330,,False,False
1469479,FREE MOBILE,LTE 800,MAISON NEUVE OUEST 24140 CAMPSEGRET,24077,"44.9494,0.5719",Pylône autostable,38m,CELLNEX,AJO,,55|205,,False,False
1472007,FREE MOBILE,LTE 800,RÉSERVOIR (AU MONT) 25470 FESSEVILLERS,25238,"47.2831,6.9086",Pylône tubulaire,25m,Conseil Régional,AJO,,120,,False,False
1481909,FREE MOBILE,LTE 800, (AU-DESSUS DES CARRIÈRES) 08450 CHEMERY CHEHERY,08115,"49.6222,4.8644",Pylône autostable,47m,HIVORY,AJO,,0|180,,False,False
1485503,FREE MOBILE,LTE 800, (BOUSCACHE) 12480 BROQUIES,12037,"43.9953,2.7039",Pylône autostable,33m,Conseil Départemental,AJO,,0|150|270,,False,False
1485547,FREE MOBILE,LTE 800, (LES JARRIGES) 19390 CHAUMEIL,19051,"45.4622,1.8694",Pylône autostable,15m,TDF,AJO,,135,,False,False
1485730,FREE MOBILE,LTE 800,MAS DE SALEL 12360 MONTAGNOL,12147,"43.8394,3.0194",Pylône autostable,23m,CELLNEX,AJO,,0|250,,False,False
1490836,FREE MOBILE,LTE 800,PUY DE GUIMONT PUY DE GUIMONT 23340 LA VILLEDIEU,23264,"45.7317,1.8756",Pylône autostable,"39,6m",Conseil Départemental,AJO,,70|190,,False,False
1491776,FREE MOBILE,5G NR 700,RUE CHARLES PEGUY 67200 STRASBOURG,67482,"48.5883,7.7003",Pylône tubulaire,"28,7m",ON TOWER FRANCE,AJA,,30|140|260,,False,False
1500012,FREE MOBILE,LTE 800, (PUECH OBSCUR) 12540 FONDAMENTE,12155,"43.8678,3.135",Pylône autostable,18m,CELLNEX,AJO,,90|200|325,,False,False
1500031,FREE MOBILE,LTE 800, (LA TREILLE) 12250 ST JEAN ET ST PAUL,12232,"43.9397,3.0472",Pylône autostable,"30,5m",ATC FRANCE,AJO,,130|245,,False,False
1500047,FREE MOBILE,LTE 800, (LE PLO DE LABADE) 12400 VERSOLS ET LAPEYRE,12292,"43.8942,2.9067",Pylône autostable,26m,ATC FRANCE,AJO,,0|90,,False,False
1503202,FREE MOBILE,LTE 800,SAINT DALMAZY SAINT DALMAZY (SAINT DALMAZY) 12150 SEVERAC D AVEYRON,12270,"44.3153,3.1019",Pylône autostable,15m,TDF,AJO,,10|180|290,,False,False
