id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1685087,FREE MOBILE,5G NR 3500,CHEMIN DES BOIS (MARBOEUF) 44140 GENESTON,44223,"47.0625,-1.5217",Pylône autostable,33m,TOTEM,,AJO,,False,False
1687058,BOUYGUES TELECOM,"LTE 2600, 5G NR 3500",GUERNEVEZ 29300 ARZANO,29002,"47.8661,-3.4472",Pylône autostable,42m,HIVORY,2026-04-15,ALL,,False,False
1688359,BOUYGUES TELECOM,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",ANCIEN FORT DE RIMPLAS (LA MADELEINE) 06420 RIMPLAS,06102,"44.0608,7.1283",Mât,4m,HIVORY,,AJO,,False,False
1689781,BOUYGUES TELECOM,LTE 700,PRÉS D127E (LE BARTAS) 34380 ARGELLIERS,34012,"43.7292,3.7211",Pylône autostable,20m,HIVORY,2026-05-06,ALL,,False,False
1689805,BOUYGUES TELECOM,LTE 2600, (LA VILLE DUBOIS) 56350 BEGANNE,56011,"47.6058,-2.2078",Pylône autostable,32m,HIVORY,2026-04-29,ALL,,False,False
1690385,SFR,LTE 700,ROUTE DE L'AMPHITRYON (LA CUCULIÈRE) 04110 VILLEMUS,04241,"43.8589,5.7133",Pylône autostable,12m,"Commune, communauté de communes",,AJO,,False,False
1691497,SFR,"LTE 700, LTE 1800",RD 909 (LES COMMUNES) 61320 LALACELLE,61213,"48.4847,-0.1367",Pylône autostable,"50,1m",HIVORY,2026-05-05,ALL,,False,False
1694885,BOUYGUES TELECOM,5G NR 3500, (LA BIGAUDIÈRE) 61800 TINCHEBRAY BOCAGE,61486,"48.7597,-0.6875",Pylône autostable,49m,HIVORY,2026-04-30,ALL,,False,False
1695671,BOUYGUES TELECOM,LTE 700,RUE LE STADE (LE CLOS GRAND) 41300 SELLES ST DENIS,41241,"47.3919,1.9256",Pylône autostable,37m,HIVORY,2026-05-06,ALL,,False,False
1698525,SFR,GSM 900,R DU SOLEIL COPROPRIÉTÉ LE JOCKER (VAL THORENS) 73600 LES BELLEVILLE,73257,"45.2975,6.5789",Immeuble,18m,"Copropriété, Syndic, SCI",2000-12-08,SUP,,False,False
1701353,FREE MOBILE,"LTE 2100, 5G NR 700",RTE DE ST-CIRGUES (LES BARGIÈRES) 63460 ARTONNE,63012,"46.0036,3.1519",Pylône autostable,"16,8m",HIVORY,2026-05-01,ALL,,False,False
1702669,BOUYGUES TELECOM,,CHEM DES PORNINS (LA CROIX) 36350 LUANT,36101,"46.7364,1.5511",Pylône tubulaire,25m,HIVORY,2017-01-25,CHH,"27,6m",False,False
1702669,SFR,,CHEM DES PORNINS (LA CROIX) 36350 LUANT,36101,"46.7364,1.5511",Pylône tubulaire,25m,HIVORY,2009-09-01,CHH,"27,6m",False,False
1703842,ORANGE,"5G NR 700, 5G NR 3500",HAMEAU FABIEN 50690 LA HAGUE,50041,"49.6636,-1.8242",Pylône autostable,42m,TOTEM,2026-04-29,ALL,,False,False
1705208,BOUYGUES TELECOM,LTE 700,CHEM DÉPARTEMENTAL N°17 CAP DE HODE 76430 ST VIGOR D YMONVILLE,76657,"49.4814,0.3428",Pylône autostable,23m,HIVORY,,SUP,,False,False
1705208,SFR,5G NR 2100,CHEM DÉPARTEMENTAL N°17 CAP DE HODE 76430 ST VIGOR D YMONVILLE,76657,"49.4814,0.3428",Pylône autostable,23m,HIVORY,2026-04-30,ALL,,False,False
1705506,BOUYGUES TELECOM,"LTE 1800, LTE 2100, 5G NR 2100",RUE DES TILLEULS (LES COUS DE CHÈVRES) 86400 CIVRAY,86078,"46.1494,0.2903",Château d'eau - réservoir,"44,2m","Syndicat des eaux, Adduction",,AJO,,False,False
1705506,BOUYGUES TELECOM,LTE 700,RUE DES TILLEULS (LES COUS DE CHÈVRES) 86400 CIVRAY,86078,"46.1494,0.2903",Château d'eau - réservoir,"44,2m","Syndicat des eaux, Adduction",,SUP,,False,False
1715261,BOUYGUES TELECOM,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",409 RTE DE ST MARTIN 45240 MENESTREAU EN VILLETTE,45200,"47.7025,2.025",Pylône tubulaire,30m,ATC FRANCE,,AJO,,False,False
1715299,BOUYGUES TELECOM,LTE 700,LE CHAMP RIGOLO (FOUGY) 58130 ST MARTIN D HEUILLE,58254,"47.0367,3.2139",Pylône tubulaire,"33,4m",HIVORY,2026-04-29,ALL,,False,False
1716576,BOUYGUES TELECOM,LTE 700, (MANET) 49490 NOYANT VILLAGES,49228,"47.5217,0.025",Pylône autostable,37m,HIVORY,,AJO,,False,False
1716762,ORANGE,5G NR 700,"3, AVENUE DE BEAUNE 87280 LIMOGES",87085,"45.9144,1.3",Pylône tubulaire,26m,TOTEM,2026-05-04,ALL,,False,False
1717932,SFR,LTE 700,ANCIEN CHEMIN DE BRESSUIRE (LES BOIS DE BRESSUIRE) 79350 CHICHE,79088,"46.8106,-0.3914",Pylône autostable,"33,3m",HIVORY,,AJO,,False,False
1720661,ORANGE,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",CHEMIN DE NAZAT (LA CHAMP) 15110 CHAUDES AIGUES,15045,"44.8631,2.9964",Pylône autostable,28m,TDF,,AJO,,False,False
1720661,ORANGE,LTE 700,CHEMIN DE NAZAT (LA CHAMP) 15110 CHAUDES AIGUES,15045,"44.8631,2.9964",Pylône autostable,28m,TDF,2022-08-16,SUP,,False,False
1721783,ORANGE,LTE 700,D 31 CHEMIN DU MOULIN (SUR ROSIÈRE) 21130 CHAMPDOTRE,21138,"47.1875,5.2978",Château d'eau - réservoir,"64,5m","Syndicat des eaux, Adduction",2021-03-16,EXT,,False,False
1726344,SFR,"LTE 700, LTE 2100, 5G NR 2100",R DE L'ETOILE D 935 (LES PLANTES) 28140 GUILLONVILLE,28190,"48.0967,1.6525",Pylône autostable,45m,HIVORY,,AJO,,False,False
1727739,FREE MOBILE,"UMTS 900, LTE 700",PLACE DE L'EGLISE CHAPELLE STE MARIE MADELEINE 04320 CASTELLET LES SAUSSES,04042,"43.9942,6.7639",Monument religieux,18m,"Commune, communauté de communes",2026-05-01,ALL,,True,True
1729419,FREE MOBILE,"LTE 1800, LTE 2600",CRÊT DE LERNIER ET DE LA PERRIERE 25370 METABIEF,25380,"46.7639,6.3456",Pylône tubulaire,25m,HIVORY,2026-05-01,ALL,,False,False
1730246,SFR,LTE 700, (BEAURABUEL) 26120 MONTMEYRAN,26206,"44.8531,5.0078",Pylône autostable,32m,ATC FRANCE,,AJO,,False,False
1732701,BOUYGUES TELECOM,,D133 (LA FOSSE À L'ANE) 41190 ST LUBIN EN VERGONNOIS,41223,"47.6275,1.2161",Pylône autostable,"48,4m",HIVORY,2017-01-03,CHH,47m,False,False
1732701,FREE MOBILE,,D133 (LA FOSSE À L'ANE) 41190 ST LUBIN EN VERGONNOIS,41223,"47.6275,1.2161",Pylône autostable,"48,4m",HIVORY,2022-04-22,CHH,47m,False,False
1732701,SFR,,D133 (LA FOSSE À L'ANE) 41190 ST LUBIN EN VERGONNOIS,41223,"47.6275,1.2161",Pylône autostable,"48,4m",HIVORY,1997-01-08,CHH,47m,False,False
1738078,ORANGE,"LTE 700, 5G NR 2100",PRÈS N 157 (ST HUBERT LES ROCHES) 72470 CHAMPAGNE,72054,"48.0078,0.3375",Pylône autostable,36m,TOTEM,,AJO,,False,False
1738078,ORANGE,LTE 2100,PRÈS N 157 (ST HUBERT LES ROCHES) 72470 CHAMPAGNE,72054,"48.0078,0.3375",Pylône autostable,36m,TOTEM,2019-04-29,SUP,,False,False
1738806,BOUYGUES TELECOM,LTE 700,186 ROUTE DE SAUVE 30900 NIMES,30189,"43.8431,4.3114",Pylône autostable,14m,HIVORY,2026-05-06,ALL,,False,False
1741141,BOUYGUES TELECOM,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600", (LES BLACHES D'ERRIENS) 26260 MARSAZ,26177,"45.1308,4.93",Pylône autostable,"34,5m",HIVORY,,AJO,,False,True
1741141,SFR,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600", (LES BLACHES D'ERRIENS) 26260 MARSAZ,26177,"45.1308,4.93",Pylône autostable,"34,5m",HIVORY,2026-04-30,ALL,,False,True
1741768,SRR,LTE 2100,CHEM CAMALON (BRAS MADELEINE) 97470 ST BENOIT,97410,"-21.0533,55.7006",Pylône autostable,20m,ORANGE,,AJO,,False,False
1741768,SRR,UMTS 2100,CHEM CAMALON (BRAS MADELEINE) 97470 ST BENOIT,97410,"-21.0533,55.7006",Pylône autostable,20m,ORANGE,2011-02-04,SUP,,False,False
1743941,BOUYGUES TELECOM,5G NR 3500,5 BOULEVARD TALABOT - RESIDENCE LE ROUSSY 30900 NIMES,30189,"43.8336,4.3667",Immeuble,"32,7m","Copropriété, Syndic, SCI",2026-04-30,ALL,,False,False
1747508,BOUYGUES TELECOM,LTE 2100,RUELLE DES GENDARMES CHEM RURAL DE GOUDELANCOURT À ROUGEMONT 02350 EBOULEAU,02274,"49.6703,3.8764",Château d'eau - réservoir,40m,"Syndicat des eaux, Adduction",2026-04-29,ALL,,False,False
1770980,BOUYGUES TELECOM,LTE 700, (LES VIGNES DE DENLOT) 86370 VIVONNE,86293,"46.435,0.2792",Pylône autostable,35m,TDF,2026-05-06,ALL,,False,False
1770988,SFR,"LTE 2100, 5G NR 2100",CHEM RURAL L'ADRÉE (LE GARAÎT) 42380 ESTIVAREILLES,42091,"45.4228,4.0072",Pylône autostable,"30,4m",HIVORY,2026-05-05,ALL,,False,False
1778795,ORANGE,5G NR 2100,RTE DES ROBERTS PRÈS LIEU-DIT LES RIBES (LES ROBERTS) 05310 FREISSINIERES,05058,"44.7553,6.5322",Pylône autostable,"20,3m",TDF,,AJO,,False,False
1795630,BOUYGUES TELECOM,"LTE 700, 5G NR 3500",AV DE LANDON GARE SNCF 39100 DOLE,39198,"47.0975,5.4883",Pylône tubulaire,"26,6m",HIVORY,,AJO,,False,False
1795630,SFR,LTE 700,AV DE LANDON GARE SNCF 39100 DOLE,39198,"47.0975,5.4883",Pylône tubulaire,"26,6m",HIVORY,2026-05-05,ALL,,False,False
