id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
3025501,SFR,UMTS 900,RUE DE LA GIRONNIÈRE (LA MARCHINCHÈRE) 44980 STE LUCE SUR LOIRE,44172,"47.2517,-1.4642",Pylône autostable,36m,TOTEM,SUP,,60|170|280,,False,True
3025749,SFR,UMTS 900,46 BOULEVARD AUGUSTE ALLONNEAU 49100 ANGERS,49007,"47.4828,-0.5272",Immeuble,24m,"Copropriété, Syndic, SCI",SUP,,0|140|240,,False,True
3025887,SFR,UMTS 900,RUE DE LA CIMENTERIE (MOULIN A SCORIES) 57360 AMNEVILLE,57019,"49.2572,6.1164",Pylône autostable,"36,1m",SFR,SUP,,0|120|260,,False,True
3026387,SFR,UMTS 900,1 C RUE JACQUES HANAPPIER 45100 ORLEANS,45234,"47.91,1.8889",Immeuble,22m,"Copropriété, Syndic, SCI",SUP,,0|120|260,,False,True
3028089,SFR,UMTS 900,RUE DES SAYES (LA PIERRE) 38080 L ISLE D ABEAU,38193,"45.6153,5.2333",Pylône tubulaire,30m,SFR,SUP,,90|250|350,,False,False
3029517,SFR,UMTS 900,38 BOULEVARD VALBENOITE 42230 ST ETIENNE,42218,"45.4278,4.395",Immeuble,22m,"Copropriété, Syndic, SCI",SUP,,20|140|280,,False,True
3029665,SFR,UMTS 900,279 CHEMIN DU PESQUIÉ (LA PRAIRIE) 47210 RIVES,47223,"44.6419,0.7422",Pylône autostable,30m,SFR,SUP,,160|260|340,,False,False
3029794,SFR,UMTS 900,CHEMIN DE PIED BEL (LA GENESTIÈRE) 26110 MIRABEL AUX BARONNIES,26182,"44.3053,5.0956",Pylône autostable,24m,ATC FRANCE,SUP,,30|140|240,,False,False
3032674,SFR,UMTS 900,RUE QUARTIER SAINT MARC (LES REGAINS) 37150 BLERE,37027,"47.3303,0.9833",Pylône autostable,36m,NEXT TOWER,SUP,,20|130|270,,False,True
3032851,SFR,UMTS 900,22 VOIE ROMAINE 37230 FONDETTES,37109,"47.3917,0.6153",Pylône autostable,32m,CELLNEX,SUP,,80|200|340,,False,True
3033923,SFR,UMTS 900,99 IMPASSE DES MOULINS 45770 SARAN,45302,"47.9417,1.8944",Bâtiment,21m,"Copropriété, Syndic, SCI",SUP,,20|180|280,,False,True
3034224,SFR,UMTS 900,5 RUE DE L'ÉCOLE 44800 ST HERBLAIN,44162,"47.2175,-1.6075",Immeuble,"19,8m","Copropriété, Syndic, SCI",SUP,,30|120|300,,False,True
3034816,SFR,UMTS 900,0 RUE CAPITAINE PIERRE BERNARD TOUR DES FRANCS 59200 TOURCOING,59599,"50.7208,3.1389",Immeuble,53m,"Copropriété, Syndic, SCI",SUP,,20|130|270,,False,True
3035717,SFR,UMTS 900,10 RUE RAYMOND POINCARÉ 51100 REIMS,51454,"49.2792,4.0197",Immeuble,22m,"Copropriété, Syndic, SCI",SUP,,90|210|330,,False,True
3037387,SFR,"UMTS 900, LTE 2100",RD643 - RTE NATIONNALE 43 PROCHE LES SAULES (LA VOIE DE BETHENCOURT) 59540 CAUDRY,59139,"50.1292,3.4353",Pylône autostable,36m,HIVORY,SUP,,0|110|270,,False,False
3039473,SFR,UMTS 900,RUE DU MERATON (PATIS DU PETIT NOIR) 39120 PETIT NOIR,39415,"46.9269,5.3378",Pylône autostable,36m,SFR,SUP,,70|200|340,,False,False
3040598,SFR,UMTS 900,9 RUE AUGUSTE ET LOUIS LUMIÈRE 37270 MONTLOUIS SUR LOIRE,37156,"47.3697,0.8247",Pylône autostable,30m,CELLNEX,SUP,,90|180|300,,False,True
3041142,SFR,UMTS 900,RUE DE NOGENT DECHETERIE D64 LA MOTELLE (CHANTRENNE) 51490 BEINE NAUROY,51046,"49.2506,4.2078",Pylône autostable,"24,3m",HIVORY,SUP,,60|150|240,,False,False
3042192,SFR,UMTS 900,68 RUE DE LILLE RUE D'ENNEVELIN 59710 AVELIN,59034,"50.5425,3.0881",Pylône autostable,30m,SFR,SUP,,0|180|270,,False,True
3042760,SFR,UMTS 900,RUE CHANZY CHEMIN RURAL DIT DE LA REMISE MARIE LEDU (LE MOULIN A VENT) 60110 MERU,60395,"49.2442,2.1375",Pylône autostable,18m,SFR,SUP,,170|260|350,,False,False
3042764,SFR,UMTS 900,RUE ELLEN MAC ARTHUR PARC DE LA PORTE NORD (LE BOIS DE LANNOY) 62700 BRUAY LA BUISSIERE,62178,"50.4914,2.5742",Pylône autostable,30m,SFR,SUP,,80|180|300,,False,True
3042789,SFR,"UMTS 900, LTE 2100",ESPACE ECONOMIQUE JEAN-LOUIS GIRAULT (LA HAUTE BORNE) 60350 BERNEUIL SUR AISNE,60064,"49.4089,3.0125",Pylône autostable,42m,HIVORY,SUP,,20|190|290,,False,True
3043353,SFR,"UMTS 900, LTE 2100",RUE DU LOUVET (CHAMP DE LOUVET) 60170 CAMBRONNE LES RIBECOURT,60119,"49.4881,2.8967",Pylône autostable,36m,HIVORY,SUP,,30|150|240,,False,False
3045052,SFR,UMTS 900,13 RUE DE HASPELSCHIEDT 57230 BITCHE,57089,"49.0569,7.4478",Pylône autostable,30m,TDF,SUP,,70|160|250,,False,False
3045084,SFR,UMTS 900,D31E (BEERENKRAUTSCHLAG) 57600 FORBACH,57227,"49.1997,6.9",Pylône autostable,36m,SFR,SUP,,80|170|260,,False,False
3045086,SFR,UMTS 900,ZI DU CHAMP DE L'ABBESSE RUE DE MAIRIEUX 59600 MAUBEUGE,59392,"50.2828,3.935",Pylône tubulaire,30m,SFR,SUP,,90|180|270,,False,False
3045102,SFR,UMTS 900,1120 BOULEVARD DE L EUROPE 39000 LONS LE SAUNIER,39300,"46.6875,5.5636",Pylône arbre,"25,5m",TOWEO,SUP,,140|230|330,,False,False
3045876,SFR,UMTS 900,87 RUE DE VARSOVIE RÉSIDENCE CHOPIN 62440 HARNES,62413,"50.4392,2.8842",Immeuble,15m,"Commune, communauté de commune",SUP,,70|200|290,,False,True
3047323,SFR,UMTS 900, (BOUHEBE) 40130 CAPBRETON,40065,"43.6303,-1.4219",Pylône autostable,42m,SFR,SUP,,0|240|300,,False,False
3048458,SFR,UMTS 900,RUE DU CHEMIN DE FER (JONCTION GAUCHE) 57100 THIONVILLE,57672,"49.3578,6.18",Pylône tubulaire,30m,SFR,SUP,,60|150|240,,False,False
3049580,SFR,UMTS 900,43 BOULEVARD SAINT AIGNAN 44300 NANTES,44109,"47.2083,-1.5781",Immeuble,"27,6m","Copropriété, Syndic, SCI",SUP,,0|120|240,,False,True
3050093,SFR,"UMTS 900, LTE 2100",VOIE DE LIESSIES 59740 FELLERIES,59226,"50.145,4.0428",Pylône autostable,36m,HIVORY,SUP,,70|220|310,,False,False
3050768,SFR,UMTS 900,RUE JACQUES DUCLOS 1 RUE ROMAIN ROLLAND 60160 MONTATAIRE,60414,"49.2589,2.4314",Pylône autostable,25m,TOTEM,SUP,,0|110|250,,False,False
3051217,SFR,UMTS 900,RUE JEAN XXIII HOTEL PREMIERE CLASSE 51450 BETHENY,51055,"49.285,4.0308",Bâtiment,20m,Société Privée,SUP,,70|160|255,,False,True
3051246,SFR,"UMTS 900, 5G NR 2100",RUE DU CHEMIN DE CHALONS D 63 (COTE A VILLERS) 51800 VILLERS EN ARGONNE,51632,"49.0192,4.9456",Pylône autostable,"30,6m",TDF,SUP,,110|230|320,2026-02-05,False,False
3052901,SFR,UMTS 900,2 RUE DE L'HOMMEAU 44640 ST JEAN DE BOISEAU,44166,"47.1886,-1.6981",Pylône autostable,"35,1m",CELLNEX,SUP,,40|150|290,,False,True
3053140,SFR,UMTS 900,CHEM D'EXPLOITATION N°32 PROCHE MONT VIGNEREUX (LA COTE DE GLANNES) 51300 GLANNES,51275,"48.7158,4.5375",Pylône autostable,"42,3m",HIVORY,SUP,,40|170|270,,False,False
3053163,SFR,UMTS 900,RUE ANATOLE FRANCE PROCHE LE HAUT PONT (LA CROIX DE SAUVAGE) 51260 ST JUST SAUVAGE,51492,"48.5506,3.7772",Pylône autostable,"42,2m",HIVORY,SUP,,40|160|250,,False,False
