id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
262713,ORANGE,LTE 700,"41/45, AV JEAN-JACQUES ROUSSEAU 93190 LIVRY GARGAN",93046,"48.9286,2.5417",Immeuble,"14,7m","Copropriété, Syndic, SCI",SUP,,110|230|350,2023-11-30,False,False
2652170,ORANGE,5G NR 2100,DÉPARTEMENTALE N°28 (LES BOURGUIGNONNES) 86430 ASNIERES SUR BLOUR,86011,"46.1578,0.7992",Pylône autostable,30m,TOTEM,AJO,,10|120|270,,False,False
267836,ORANGE,5G NR 3500,R A MONTICELLI 13127 VITROLLES,13117,"43.4444,5.2536",Immeuble,29m,Société HLM,ART,,5|100|270,2025-07-16,False,False
2693571,ORANGE,5G NR 3500,50 BD DE LA MER ANGLE RUE DOCTEUR BARRAUD MUPI 17340 CHATELAILLON PLAGE,17094,"46.075,-1.0936",Mobilier urbain,3m,Société Privée,AJO,,180|340,,False,False
2731657,ORANGE,5G NR 2100,CHE DE COUPIAC (BOIS DE COUPIAC) 46300 GOURDON,46127,"44.7133,1.3389",Pylône autostable,35m,ON TOWER FRANCE,ALL,,100|230|340,2026-09-14,False,False
2772548,ORANGE,LTE 1800,CHEMIN NEUWEG 68420 HUSSEREN LES CHATEAUX,68150,"48.035,7.2772",Pylône tubulaire,"12,4m",SFR,AJO,,50|150,,True,False
2784055,ORANGE,,CHEMIN DES VIGNES (LA GRANDE PIÈCE) 55150 ROMAGNE SOUS LES COTES,55437,"49.3197,5.4692",Pylône autostable,31m,HIVORY,CHH,44m,,,False,False
2796721,ORANGE,5G NR 3500,CHEMIN RURAL PROCHE DE ROUTE D'ENTRAIGUES PROCHE STATION D ÉPURATION (CHAMP DU MAILLET) 63720 CHAPPES,63089,"45.8736,3.2289",Pylône autostable,25m,ATC FRANCE,ART,,55|210|300,2025-06-03,False,False
2800278,ORANGE,LTE 1800,ROUTE DE CAL CASCAT (MAS D'EN CASALS) 66400 REYNES,66160,"42.4767,2.7136",Pylône autostable,36m,SFR,AJO,,60|200|270,,True,False
2819253,ORANGE,5G NR 3500,PLACE DE LA MAIRIE EHPAD DE LA SAGESSE 35800 ST BRIAC SUR MER,35256,"48.6183,-2.1314",Bâtiment,"18,1m","Commune, communauté de commune",ART,,50|180|315,2025-05-22,False,False
283251,ORANGE,"LTE 2600, 5G NR 2100",CAMP MILITAIRE DE SISSONNE 02150 SISSONNE,02720,"49.5681,3.9139",Pylône autostable,54m,TDF,ALL,,60|180|290,2026-09-10,False,False
2850853,ORANGE,LTE 1800,PRES DU CHEMIN RURAL DE THUIR À CAMELAS (MAS DELS HORTS) 66300 CAMELAS,66033,"42.6289,2.6775",Pylône autostable,43m,TDF,AJO,,90|150|330,,True,False
2870220,ORANGE,5G NR 3500,7 RUE RENE COTY 27140 GISORS,27284,"49.2769,1.7769",Immeuble,20m,Société HLM,ART,,30|170|270,2026-04-13,False,False
2873642,ORANGE,5G NR 2100,LE PEUX (LA CROIX DU PEUX) 86430 MOUTERRE SUR BLOURDE,86172,"46.1989,0.7522",Pylône autostable,24m,ORANGE Services Fixes,AJO,,20|130|270,,False,False
287988,ORANGE,5G NR 3500,R DU CHEM DU MAURE ADM. : ALLÉE DU STADE STADE DE DAMIGNY 61250 DAMIGNY,61143,"48.4469,0.0778",Pylône tubulaire,30m,TOTEM,ART,,30|150|270,2026-07-09,False,False
2886661,ORANGE,"5G NR 700, 5G NR 3500",100 ROUTE DE MARCÉ (LA CROIX) 49140 SEICHES SUR LE LOIR,49333,"47.5786,-0.3492",Pylône autostable,40m,TOTEM,AJO,,30|150|270,,False,False
2886661,ORANGE,LTE 700,100 ROUTE DE MARCÉ (LA CROIX) 49140 SEICHES SUR LE LOIR,49333,"47.5786,-0.3492",Pylône autostable,40m,TOTEM,SUP,,30|150|270,2024-10-21,False,False
